id,name,company_size,industry,location,remote_policy,available_accommodations
0,Nexus Dynamics,medium,retail,Brookeview,in-office,"['flexible schedule', 'noise reduction', 'remote work']"
1,Horizon Solutions,medium,retail,West Paulborough,hybrid,"['physical workspace modifications', 'assistive technology', 'noise reduction', 'remote work']"
2,Pinnacle Innovations,large,retail,Moorefurt,remote-friendly,"['noise reduction', 'remote work', 'physical workspace modifications', 'modified training materials', 'assistive technology']"
3,Quantum Enterprises,medium,healthcare,South Sheilaside,in-office,"['noise reduction', 'remote work']"
4,Vertex Technologies,small,healthcare,Fieldsside,hybrid,"['assistive technology', 'flexible schedule', 'noise reduction', 'physical workspace modifications', 'remote work']"
5,Fusion Systems,medium,finance,Lake Christopher,hybrid,"['noise reduction', 'assistive technology', 'remote work']"
6,Meridian Industries,medium,healthcare,Pattersonbury,remote-friendly,"['remote work', 'flexible schedule']"
7,Aurora Analytics,large,manufacturing,West Michelle,in-office,"['noise reduction', 'flexible schedule']"
8,Zenith Networks,large,manufacturing,East Danielbury,in-office,"['physical workspace modifications', 'flexible schedule', 'interpreter services', 'noise reduction']"
9,Catalyst Ventures,small,retail,Davidport,in-office,"['remote work', 'assistive technology']"
10,Apex Digital,medium,tech,Hopkinsport,remote-friendly,"['modified training materials', 'noise reduction', 'assistive technology', 'physical workspace modifications', 'interpreter services', 'remote work']"
11,Prism Robotics,large,finance,Rodgersland,hybrid,"['interpreter services', 'assistive technology', 'remote work']"
12,Cobalt Computing,large,finance,West Danielle,hybrid,"['flexible schedule', 'assistive technology', 'remote work']"
13,Sequoia Solutions,large,retail,Fordbury,hybrid,"['assistive technology', 'remote work', 'noise reduction', 'flexible schedule', 'interpreter services']"
14,Pulse Media,medium,retail,East Raymond,in-office,"['physical workspace modifications', 'interpreter services', 'assistive technology', 'flexible schedule']"
15,Nova Logistics,small,retail,New Nathanfort,hybrid,"['flexible schedule', 'interpreter services', 'remote work', 'modified training materials']"
16,Eclipse Manufacturing,small,manufacturing,Contrerashaven,in-office,"['interpreter services', 'flexible schedule', 'modified training materials', 'physical workspace modifications', 'noise reduction']"
17,Titan Engineering,medium,manufacturing,Lake Kimberlyberg,in-office,"['physical workspace modifications', 'remote work', 'modified training materials', 'flexible schedule', 'noise reduction']"
18,Helix Biotech,medium,retail,Port Ashleyport,hybrid,"['interpreter services', 'assistive technology', 'physical workspace modifications', 'modified training materials', 'remote work']"
19,Orion Defense,large,retail,Andrewview,in-office,"['assistive technology', 'noise reduction', 'interpreter services', 'modified training materials']"
20,Everest Capital,medium,manufacturing,Aguilarburgh,hybrid,"['interpreter services', 'physical workspace modifications', 'modified training materials', 'noise reduction', 'flexible schedule', 'remote work']"
21,Atlas Consulting,large,healthcare,Josephmouth,in-office,"['interpreter services', 'noise reduction', 'physical workspace modifications', 'assistive technology', 'modified training materials']"
22,Phoenix Dynamics,medium,tech,Robertsonside,remote-friendly,"['remote work', 'noise reduction']"
23,Spectrum Technologies,large,manufacturing,Jessicafurt,hybrid,"['interpreter services', 'physical workspace modifications', 'noise reduction', 'modified training materials', 'flexible schedule', 'remote work']"
24,Satori Systems,large,healthcare,Christophertown,remote-friendly,"['interpreter services', 'remote work', 'assistive technology']"
25,Tempest Security,small,manufacturing,South Christopherville,remote-friendly,"['modified training materials', 'remote work']"
26,Velocity Partners,large,finance,New Lisastad,in-office,"['assistive technology', 'flexible schedule', 'remote work', 'modified training materials', 'noise reduction', 'interpreter services']"
27,Impulse Innovations,small,finance,East Davidfurt,in-office,"['modified training materials', 'noise reduction', 'assistive technology', 'flexible schedule', 'physical workspace modifications']"
28,Cascade Data,small,finance,Davidstad,hybrid,"['physical workspace modifications', 'noise reduction', 'modified training materials', 'flexible schedule', 'remote work']"
29,Vortex Aerospace,large,manufacturing,Thomasville,hybrid,"['assistive technology', 'interpreter services', 'remote work']"
30,Crescent Industries,large,healthcare,Jamiehaven,hybrid,"['noise reduction', 'flexible schedule', 'assistive technology', 'interpreter services', 'physical workspace modifications', 'remote work']"
31,Aegis Protection,small,healthcare,West Raven,remote-friendly,"['physical workspace modifications', 'interpreter services', 'modified training materials', 'noise reduction', 'remote work', 'flexible schedule']"
32,Polaris Ventures,large,tech,North Dianaside,remote-friendly,"['interpreter services', 'modified training materials', 'noise reduction', 'remote work']"
33,Nimbus Cloud,small,finance,Starkton,remote-friendly,"['modified training materials', 'physical workspace modifications', 'noise reduction', 'remote work']"
34,Radius Networks,small,finance,West Nathanborough,remote-friendly,"['assistive technology', 'modified training materials', 'noise reduction', 'remote work']"
35,Helios Energy,small,healthcare,Tylermouth,remote-friendly,"['remote work', 'physical workspace modifications', 'assistive technology', 'flexible schedule', 'modified training materials']"
36,Stratus Computing,medium,manufacturing,Mercerfurt,in-office,"['physical workspace modifications', 'remote work', 'interpreter services']"
37,Valkyrie Defense,medium,healthcare,Cruzmouth,remote-friendly,"['remote work', 'physical workspace modifications', 'interpreter services', 'modified training materials', 'flexible schedule']"
38,Obsidian Security,large,healthcare,South Angelland,hybrid,"['modified training materials', 'physical workspace modifications', 'interpreter services', 'flexible schedule', 'remote work']"
39,Axiom Research,medium,tech,Mccarthyton,in-office,"['noise reduction', 'assistive technology', 'interpreter services']"
40,Nebula Technologies,large,manufacturing,Jennifermouth,remote-friendly,"['assistive technology', 'physical workspace modifications', 'modified training materials', 'remote work']"
